datetime,pm2_5,pm10,o3,no2,so2,co,latitude,longitude
2024-08-17 00:00:00+00:00,15.9,22.71,10.01,12.85,15.5,480.65,19.076,72.8777
2024-08-17 01:00:00+00:00,20.15,28.19,6.26,16.45,18.36,580.79,19.076,72.8777
2024-08-17 02:00:00+00:00,38.46,51.87,0.78,21.93,29.33,974.66,19.076,72.8777
2024-08-17 03:00:00+00:00,55.87,72.64,0.54,22.96,42.44,1335.14,19.076,72.8777
2024-08-17 04:00:00+00:00,51.19,65.05,0.87,23.31,59.6,1188.28,19.076,72.8777
2024-08-17 05:00:00+00:00,50.04,64.17,1.25,23.31,69.62,1081.47,19.076,72.8777
2024-08-17 06:00:00+00:00,36.01,49.32,3.4,20.56,56.74,774.38,19.076,72.8777
2024-08-17 07:00:00+00:00,29.0,44.06,14.48,19.19,35.76,654.22,19.076,72.8777
2024-08-17 08:00:00+00:00,34.07,52.64,23.96,24.33,28.61,781.06,19.076,72.8777
2024-08-17 09:00:00+00:00,38.06,58.4,27.54,28.45,28.13,867.84,19.076,72.8777
2024-08-17 10:00:00+00:00,32.75,51.08,24.32,26.05,24.8,801.09,19.076,72.8777
2024-08-17 11:00:00+00:00,27.2,43.02,16.45,24.68,21.7,727.65,19.076,72.8777
2024-08-17 12:00:00+00:00,23.53,37.56,8.67,25.36,20.03,680.92,19.076,72.8777
2024-08-17 13:00:00+00:00,23.01,36.72,3.08,26.73,20.74,680.92,19.076,72.8777
2024-08-17 14:00:00+00:00,29.0,46.34,0.56,25.7,23.6,801.09,19.076,72.8777
2024-08-17 15:00:00+00:00,34.26,55.26,0.46,23.99,25.51,881.2,19.076,72.8777
2024-08-17 16:00:00+00:00,43.15,68.4,0.24,24.68,30.52,1054.76,19.076,72.8777
2024-08-17 17:00:00+00:00,51.33,80.76,0.13,25.7,35.29,1201.63,19.076,72.8777
2024-08-17 18:00:00+00:00,50.14,79.8,0.14,26.39,34.33,1161.58,19.076,72.8777
2024-08-17 19:00:00+00:00,37.72,61.86,0.36,25.7,28.13,921.25,19.076,72.8777
2024-08-17 20:00:00+00:00,32.22,53.22,0.64,26.05,26.94,794.41,19.076,72.8777
2024-08-17 21:00:00+00:00,35.16,56.61,0.62,28.1,31.47,827.79,19.076,72.8777
2024-08-17 22:00:00+00:00,38.91,60.94,0.61,29.82,36.24,881.2,19.076,72.8777
2024-08-17 23:00:00+00:00,41.03,62.51,0.59,30.5,40.05,894.55,19.076,72.8777
2024-08-18 00:00:00+00:00,44.14,64.94,0.4,31.19,43.87,934.6,19.076,72.8777
2024-08-18 01:00:00+00:00,56.04,79.29,0.07,33.59,53.88,1148.22,19.076,72.8777
2024-08-18 02:00:00+00:00,95.32,129.5,0.11,38.04,77.25,1869.2,19.076,72.8777
2024-08-18 03:00:00+00:00,156.47,206.98,0.7,43.18,109.67,2937.32,19.076,72.8777
2024-08-18 04:00:00+00:00,200.37,260.38,1.56,50.04,137.33,3631.59,19.076,72.8777
2024-08-18 05:00:00+00:00,173.02,227.6,2.57,51.41,127.79,3097.53,19.076,72.8777
2024-08-18 06:00:00+00:00,94.48,134.01,4.6,40.78,81.06,1789.09,19.076,72.8777
2024-08-18 07:00:00+00:00,35.59,59.05,7.96,27.76,41.48,781.06,19.076,72.8777
2024-08-18 08:00:00+00:00,23.41,40.67,13.05,22.96,27.42,600.81,19.076,72.8777
2024-08-18 09:00:00+00:00,22.16,37.01,15.91,21.93,23.84,594.14,19.076,72.8777
2024-08-18 10:00:00+00:00,19.93,36.05,17.17,19.36,20.27,540.73,19.076,72.8777
2024-08-18 11:00:00+00:00,20.06,38.31,13.41,20.73,19.31,540.73,19.076,72.8777
2024-08-18 12:00:00+00:00,21.48,41.22,7.33,24.68,20.27,594.14,19.076,72.8777
2024-08-18 13:00:00+00:00,25.15,46.71,2.77,28.45,23.37,700.95,19.076,72.8777
2024-08-18 14:00:00+00:00,32.47,57.47,0.34,30.5,28.61,854.49,19.076,72.8777
2024-08-18 15:00:00+00:00,40.85,69.6,0.13,30.5,33.86,1014.71,19.076,72.8777
2024-08-18 16:00:00+00:00,61.94,98.65,0.02,33.93,46.25,1415.25,19.076,72.8777
2024-08-18 17:00:00+00:00,93.52,142.64,0.0,36.67,61.04,1949.31,19.076,72.8777
2024-08-18 18:00:00+00:00,108.85,165.35,0.0,36.33,67.71,2189.64,19.076,72.8777
2024-08-18 19:00:00+00:00,89.22,136.45,0.0,33.59,56.74,1815.8,19.076,72.8777
2024-08-18 20:00:00+00:00,67.08,102.12,0.02,30.85,45.78,1415.25,19.076,72.8777
2024-08-18 21:00:00+00:00,53.48,80.01,0.07,29.47,40.53,1134.87,19.076,72.8777
2024-08-18 22:00:00+00:00,40.53,59.89,0.27,28.45,36.72,881.2,19.076,72.8777
2024-08-18 23:00:00+00:00,39.75,56.72,0.22,29.47,39.58,854.49,19.076,72.8777
2024-08-19 00:00:00+00:00,48.61,65.64,0.04,32.56,49.11,1014.71,19.076,72.8777
2024-08-19 01:00:00+00:00,73.48,91.88,0.0,36.33,65.8,1441.96,19.076,72.8777
2024-08-19 02:00:00+00:00,110.43,133.58,0.04,38.04,89.65,2056.12,19.076,72.8777
2024-08-19 03:00:00+00:00,136.32,162.97,0.36,38.39,112.53,2483.37,19.076,72.8777
2024-08-19 04:00:00+00:00,152.99,181.41,0.86,40.1,131.61,2723.69,19.076,72.8777
2024-08-19 05:00:00+00:00,164.94,196.15,1.48,43.18,144.96,2883.91,19.076,72.8777
2024-08-19 06:00:00+00:00,150.17,180.76,3.67,49.35,141.14,2670.29,19.076,72.8777
2024-08-19 07:00:00+00:00,103.99,128.92,13.59,53.47,106.81,1895.9,19.076,72.8777
2024-08-19 08:00:00+00:00,64.02,85.04,25.39,44.55,66.76,1268.39,19.076,72.8777
2024-08-19 09:00:00+00:00,42.7,61.37,29.68,32.9,46.25,961.3,19.076,72.8777
2024-08-19 10:00:00+00:00,30.3,49.81,33.26,25.02,32.9,747.68,19.076,72.8777
2024-08-19 11:00:00+00:00,29.75,51.89,27.18,27.42,31.47,774.38,19.076,72.8777
2024-08-19 12:00:00+00:00,33.28,57.7,12.87,33.59,34.33,907.9,19.076,72.8777
2024-08-19 13:00:00+00:00,41.89,69.92,2.35,37.7,40.53,1148.22,19.076,72.8777
2024-08-19 14:00:00+00:00,55.81,90.03,0.05,34.96,47.68,1415.25,19.076,72.8777
2024-08-19 15:00:00+00:00,71.3,112.5,0.0,31.53,54.84,1642.23,19.076,72.8777
2024-08-19 16:00:00+00:00,97.99,148.09,0.0,32.56,69.62,2056.12,19.076,72.8777
2024-08-19 17:00:00+00:00,124.69,184.25,0.0,34.27,81.06,2456.67,19.076,72.8777
2024-08-19 18:00:00+00:00,117.58,177.51,0.0,33.24,72.48,2296.45,19.076,72.8777
2024-08-19 19:00:00+00:00,79.79,123.3,0.01,31.19,50.54,1628.88,19.076,72.8777
2024-08-19 20:00:00+00:00,55.57,85.8,0.06,31.53,39.1,1174.93,19.076,72.8777
2024-08-19 21:00:00+00:00,48.8,73.81,0.15,33.59,37.19,1041.41,19.076,72.8777
2024-08-19 22:00:00+00:00,46.99,68.74,0.26,34.27,40.05,1014.71,19.076,72.8777
2024-08-19 23:00:00+00:00,55.63,76.89,0.11,35.3,47.68,1161.58,19.076,72.8777
2024-08-20 00:00:00+00:00,78.68,101.85,0.01,38.04,61.04,1508.71,19.076,72.8777
2024-08-20 01:00:00+00:00,119.45,146.14,0.0,42.84,84.88,2029.42,19.076,72.8777
2024-08-20 02:00:00+00:00,193.01,228.34,0.01,50.72,122.07,3044.13,19.076,72.8777
2024-08-20 03:00:00+00:00,274.76,317.64,0.03,58.26,158.31,4219.06,19.076,72.8777
2024-08-20 04:00:00+00:00,294.95,335.31,0.04,61.69,179.29,4539.49,19.076,72.8777
2024-08-20 05:00:00+00:00,264.77,300.87,0.19,59.63,183.11,4112.24,19.076,72.8777
2024-08-20 06:00:00+00:00,214.84,242.72,1.01,58.95,179.29,3311.16,19.076,72.8777
2024-08-20 07:00:00+00:00,183.27,205.34,4.34,67.86,181.2,2723.69,19.076,72.8777
2024-08-20 08:00:00+00:00,253.95,285.96,6.35,100.08,205.99,3685.0,19.076,72.8777
2024-08-20 09:00:00+00:00,331.42,372.86,10.1,145.32,226.97,4539.49,19.076,72.8777
2024-08-20 10:00:00+00:00,306.46,350.94,21.1,160.4,186.92,3898.62,19.076,72.8777
2024-08-20 11:00:00+00:00,198.15,241.27,18.42,122.01,114.44,2643.59,19.076,72.8777
2024-08-20 12:00:00+00:00,130.93,172.96,11.8,94.59,72.48,1976.01,19.076,72.8777
2024-08-20 13:00:00+00:00,107.02,149.19,4.69,87.74,57.22,1762.39,19.076,72.8777
2024-08-20 14:00:00+00:00,112.64,161.04,0.2,84.31,60.08,1976.01,19.076,72.8777
2024-08-20 15:00:00+00:00,127.21,185.0,0.02,80.88,69.62,2296.45,19.076,72.8777
2024-08-20 16:00:00+00:00,171.28,241.68,0.0,86.37,93.46,2990.72,19.076,72.8777
2024-08-20 17:00:00+00:00,219.69,303.21,0.0,85.0,118.26,3685.0,19.076,72.8777
2024-08-20 18:00:00+00:00,219.9,307.78,0.0,70.6,120.16,3685.0,19.076,72.8777
2024-08-20 19:00:00+00:00,171.09,248.14,0.0,52.78,101.09,2964.02,19.076,72.8777
2024-08-20 20:00:00+00:00,138.63,206.83,0.0,41.47,89.65,2429.96,19.076,72.8777
2024-08-20 21:00:00+00:00,133.24,199.28,0.0,36.33,90.6,2296.45,19.076,72.8777
2024-08-20 22:00:00+00:00,124.88,184.15,0.0,32.56,84.88,2109.53,19.076,72.8777
2024-08-20 23:00:00+00:00,110.37,162.04,0.0,30.16,73.43,1869.2,19.076,72.8777
2024-08-21 00:00:00+00:00,104.0,148.7,0.0,30.85,63.9,1735.69,19.076,72.8777
2024-08-21 01:00:00+00:00,103.21,142.0,0.0,32.56,63.9,1695.63,19.076,72.8777
2024-08-21 02:00:00+00:00,109.32,148.83,0.03,33.93,74.39,1869.2,19.076,72.8777
2024-08-21 03:00:00+00:00,101.05,139.18,0.47,35.64,84.88,1815.8,19.076,72.8777
2024-08-21 04:00:00+00:00,68.56,96.62,1.63,37.01,88.69,1348.5,19.076,72.8777
2024-08-21 05:00:00+00:00,52.84,76.7,2.82,35.99,80.11,1108.17,19.076,72.8777
2024-08-21 06:00:00+00:00,39.03,60.02,4.69,32.22,66.76,867.84,19.076,72.8777
2024-08-21 07:00:00+00:00,27.31,46.37,7.51,27.42,50.54,640.87,19.076,72.8777
2024-08-21 08:00:00+00:00,21.63,40.22,7.6,25.02,39.58,540.73,19.076,72.8777
2024-08-21 09:00:00+00:00,18.96,36.41,10.73,22.62,31.95,494.0,19.076,72.8777
2024-08-21 10:00:00+00:00,17.4,34.04,18.24,19.88,24.56,460.62,19.076,72.8777
2024-08-21 11:00:00+00:00,18.63,34.71,21.99,21.42,22.89,500.68,19.076,72.8777
2024-08-21 12:00:00+00:00,19.96,36.12,18.6,26.05,23.37,567.44,19.076,72.8777
2024-08-21 13:00:00+00:00,25.27,43.63,9.21,35.64,27.18,727.65,19.076,72.8777
2024-08-21 14:00:00+00:00,42.13,67.78,1.02,45.93,37.67,1081.47,19.076,72.8777
2024-08-21 15:00:00+00:00,70.63,107.44,0.04,52.09,54.84,1588.82,19.076,72.8777
2024-08-21 16:00:00+00:00,118.45,166.47,0.0,61.69,85.83,2349.85,19.076,72.8777
2024-08-21 17:00:00+00:00,175.19,232.52,0.0,67.17,116.35,3124.24,19.076,72.8777
2024-08-21 18:00:00+00:00,207.97,267.1,0.0,67.86,129.7,3524.78,19.076,72.8777
2024-08-21 19:00:00+00:00,189.73,238.07,0.0,65.8,118.26,3177.64,19.076,72.8777
2024-08-21 20:00:00+00:00,147.18,180.18,0.0,61.69,95.37,2403.26,19.076,72.8777
2024-08-21 21:00:00+00:00,103.47,125.29,0.0,54.15,72.48,1602.17,19.076,72.8777
2024-08-21 22:00:00+00:00,73.84,88.57,0.0,49.35,65.8,988.01,19.076,72.8777
2024-08-21 23:00:00+00:00,66.62,79.57,0.0,45.24,56.74,814.44,19.076,72.8777
2024-08-22 00:00:00+00:00,68.09,79.59,0.0,43.18,51.02,767.71,19.076,72.8777
2024-08-22 01:00:00+00:00,71.6,82.15,0.0,41.81,48.16,774.38,19.076,72.8777
2024-08-22 02:00:00+00:00,78.57,90.31,0.01,40.78,50.54,907.9,19.076,72.8777
2024-08-22 03:00:00+00:00,81.61,95.14,0.13,40.1,53.41,1041.41,19.076,72.8777
2024-08-22 04:00:00+00:00,89.44,106.64,0.63,39.07,56.27,1255.04,19.076,72.8777
2024-08-22 05:00:00+00:00,102.67,125.29,1.9,40.78,57.7,1508.71,19.076,72.8777
2024-08-22 06:00:00+00:00,104.2,128.59,6.26,47.98,53.88,1535.42,19.076,72.8777
2024-08-22 07:00:00+00:00,85.29,106.47,21.46,48.67,41.01,1268.39,19.076,72.8777
2024-08-22 08:00:00+00:00,58.68,74.79,43.27,35.99,28.37,947.95,19.076,72.8777
2024-08-22 09:00:00+00:00,39.4,51.68,57.22,23.65,20.27,714.3,19.076,72.8777
2024-08-22 10:00:00+00:00,25.93,35.19,56.51,17.14,14.54,547.41,19.076,72.8777
2024-08-22 11:00:00+00:00,21.86,30.07,47.92,18.16,13.47,534.06,19.076,72.8777
2024-08-22 12:00:00+00:00,21.18,29.44,39.34,21.93,13.83,554.08,19.076,72.8777
2024-08-22 13:00:00+00:00,25.56,35.35,26.82,29.82,16.45,674.25,19.076,72.8777
2024-08-22 14:00:00+00:00,35.52,49.2,15.2,35.99,21.7,881.2,19.076,72.8777
2024-08-22 15:00:00+00:00,45.36,62.41,9.48,37.36,26.7,1068.12,19.076,72.8777
2024-08-22 16:00:00+00:00,55.77,75.43,5.28,39.41,33.38,1268.39,19.076,72.8777
2024-08-22 17:00:00+00:00,56.18,75.47,5.45,38.73,33.86,1268.39,19.076,72.8777
2024-08-22 18:00:00+00:00,44.57,60.3,9.3,35.3,29.8,1054.76,19.076,72.8777
2024-08-22 19:00:00+00:00,25.45,34.78,19.49,25.7,21.7,660.9,19.076,72.8777
2024-08-22 20:00:00+00:00,17.31,24.03,28.25,18.51,19.31,473.98,19.076,72.8777
2024-08-22 21:00:00+00:00,15.18,20.83,34.69,14.91,18.36,417.23,19.076,72.8777
2024-08-22 22:00:00+00:00,12.38,16.26,38.27,12.34,16.69,367.16,19.076,72.8777
2024-08-22 23:00:00+00:00,11.79,15.08,29.33,13.54,18.12,370.5,19.076,72.8777
2024-08-23 00:00:00+00:00,11.67,14.83,19.49,15.77,20.27,377.18,19.076,72.8777
2024-08-23 01:00:00+00:00,11.45,14.39,12.87,16.62,20.98,390.53,19.076,72.8777
2024-08-23 02:00:00+00:00,12.54,16.24,8.58,17.14,21.22,460.62,19.076,72.8777
2024-08-23 03:00:00+00:00,13.17,17.62,8.14,16.45,21.7,514.03,19.076,72.8777
2024-08-23 04:00:00+00:00,12.87,17.47,10.01,16.28,21.46,527.38,19.076,72.8777
2024-08-23 05:00:00+00:00,13.37,18.04,12.87,16.28,22.65,534.06,19.076,72.8777
2024-08-23 06:00:00+00:00,13.9,18.36,16.63,17.31,25.27,527.38,19.076,72.8777
2024-08-23 07:00:00+00:00,13.91,18.03,18.24,19.71,27.89,500.68,19.076,72.8777
2024-08-23 08:00:00+00:00,12.93,16.79,20.92,19.02,25.03,460.62,19.076,72.8777
2024-08-23 09:00:00+00:00,10.61,14.35,23.6,15.77,19.55,413.89,19.076,72.8777
2024-08-23 10:00:00+00:00,11.31,16.3,20.74,15.77,15.02,447.27,19.076,72.8777
2024-08-23 11:00:00+00:00,16.14,23.21,14.13,21.25,15.26,574.11,19.076,72.8777
2024-08-23 12:00:00+00:00,21.69,30.86,5.9,29.13,17.64,714.3,19.076,72.8777
2024-08-23 13:00:00+00:00,30.99,43.67,0.93,32.9,22.89,947.95,19.076,72.8777
2024-08-23 14:00:00+00:00,48.01,67.37,0.06,31.53,31.95,1281.74,19.076,72.8777
2024-08-23 15:00:00+00:00,69.43,97.35,0.01,29.47,43.87,1655.58,19.076,72.8777
2024-08-23 16:00:00+00:00,104.56,140.13,0.0,29.82,63.9,2243.04,19.076,72.8777
2024-08-23 17:00:00+00:00,136.28,176.02,0.0,30.16,82.02,2750.4,19.076,72.8777
2024-08-23 18:00:00+00:00,146.45,184.32,0.0,29.13,89.65,2910.61,19.076,72.8777
2024-08-23 19:00:00+00:00,113.89,140.81,0.0,26.05,73.43,2349.85,19.076,72.8777
2024-08-23 20:00:00+00:00,62.44,78.44,0.03,22.96,43.39,1401.9,19.076,72.8777
2024-08-23 21:00:00+00:00,29.8,38.98,1.27,21.25,24.08,754.36,19.076,72.8777
2024-08-23 22:00:00+00:00,15.84,21.65,7.51,17.14,17.4,473.98,19.076,72.8777
2024-08-23 23:00:00+00:00,16.37,22.52,11.27,16.28,17.4,507.35,19.076,72.8777
2024-08-24 00:00:00+00:00,19.02,26.09,10.91,18.16,20.27,580.79,19.076,72.8777
